Local time,Open,High,Low,Close,Volume
01.01.2021 00:00:00.000 GMT-0000,30603.789,30603.789,30603.789,30603.789,0
02.01.2021 00:00:00.000 GMT-0000,30603.789,30603.789,30603.789,30603.789,0
03.01.2021 00:00:00.000 GMT-0000,30591.259,30634.769,30535.749,30607.229,0.9632
04.01.2021 00:00:00.000 GMT-0000,30609.299,30795.509,29873.239,30220.699,40.083
05.01.2021 00:00:00.000 GMT-0000,30218.759,30503.999,30084.699,30362.219,39.1014
06.01.2021 00:00:00.000 GMT-0000,30364.209,31024.769,30267.219,30875.299,52.6116
07.01.2021 00:00:00.000 GMT-0000,30875.239,31195.499,30804.249,31068.239,26.2286
08.01.2021 00:00:00.000 GMT-0000,31068.999,31256.299,30795.219,31131.999,27.4032
09.01.2021 00:00:00.000 GMT-0000,31131.999,31131.999,31131.999,31131.999,0
10.01.2021 00:00:00.000 GMT-0000,31062.699,31122.997,31010.999,31024.199,0.8413
11.01.2021 00:00:00.000 GMT-0000,31024.227,31094.287,30741.559,31038.499,26.3601
12.01.2021 00:00:00.000 GMT-0000,31038.779,31119.099,30885.709,31094.239,22.3735
13.01.2021 00:00:00.000 GMT-0000,31094.287,31165.789,30976.059,31086.249,19.7506
14.01.2021 00:00:00.000 GMT-0000,31086.277,31223.239,30988.709,31033.499,18.7654
15.01.2021 00:00:00.000 GMT-0000,31032.999,31037.299,30607.209,30760.799,25.4808
16.01.2021 00:00:00.000 GMT-0000,30760.799,30760.799,30760.799,30760.799,0
17.01.2021 00:00:00.000 GMT-0000,30755.199,30828.739,30728.249,30761.269,0.6537
18.01.2021 00:00:00.000 GMT-0000,30761.279,30879.749,30710.259,30874.739,9.742
19.01.2021 00:00:00.000 GMT-0000,30874.229,31078.497,30860.759,31012.799,18.2485
20.01.2021 00:00:00.000 GMT-0000,31012.997,31238.499,30875.249,31209.299,18.0292
21.01.2021 00:00:00.000 GMT-0000,31209.267,31288.299,31119.729,31144.999,15.7363
22.01.2021 00:00:00.000 GMT-0000,31145.219,31187.257,30893.799,31015.229,19.2457
23.01.2021 00:00:00.000 GMT-0000,31015.229,31015.229,31015.229,31015.229,0
24.01.2021 00:00:00.000 GMT-0000,31021.779,31085.269,31011.799,31060.289,0.4808
25.01.2021 00:00:00.000 GMT-0000,31061.499,31111.499,30560.289,30932.249,31.8341
26.01.2021 00:00:00.000 GMT-0000,30932.499,31116.269,30765.229,30945.799,34.4453
27.01.2021 00:00:00.000 GMT-0000,30945.729,30962.739,30047.719,30086.239,47.5864
28.01.2021 00:00:00.000 GMT-0000,30085.729,30939.769,30063.029,30535.209,42.2138
29.01.2021 00:00:00.000 GMT-0000,30536.289,30616.999,29857.699,29955.709,44.1878
30.01.2021 00:00:00.000 GMT-0000,29955.709,29955.709,29955.709,29955.709,0
31.01.2021 00:00:00.000 GMT-0000,29875.199,29914.279,29656.229,29799.269,1.3628
01.02.2021 00:00:00.000 GMT-0000,29799.267,30337.797,29795.229,30249.219,30.2162
02.02.2021 00:00:00.000 GMT-0000,30249.247,30842.249,30171.209,30728.299,30.6327
03.02.2021 00:00:00.000 GMT-0000,30728.247,30810.729,30516.499,30782.269,11.6117
