Local time,Open,High,Low,Close,Volume
01.01.2021 00:00:00.000 GMT-0000,16.758,16.758,16.758,16.758,0
02.01.2021 00:00:00.000 GMT-0000,16.758,16.758,16.758,16.758,0
03.01.2021 00:00:00.000 GMT-0000,16.758,16.758,16.758,16.758,0
04.01.2021 00:00:00.000 GMT-0000,16.827,18.788,16.818,18.218,144550.4063
05.01.2021 00:00:00.000 GMT-0000,18.677,18.688,17.477,17.637,75590.1797
06.01.2021 00:00:00.000 GMT-0000,17.448,17.987,16.528,17.547,123245.0391
07.01.2021 00:00:00.000 GMT-0000,16.787,16.868,16.497,16.508,7940.3311
08.01.2021 00:00:00.000 GMT-0000,16.387,16.927,16.227,16.337,5072.0513
09.01.2021 00:00:00.000 GMT-0000,16.337,16.337,16.337,16.337,0
10.01.2021 00:00:00.000 GMT-0000,16.337,16.337,16.337,16.337,0
11.01.2021 00:00:00.000 GMT-0000,16.937,17.387,16.687,17.308,5751.1963
12.01.2021 00:00:00.000 GMT-0000,16.938,17.438,16.697,16.737,5335.1934
13.01.2021 00:00:00.000 GMT-0000,16.728,16.847,16.337,16.457,1837.0699
14.01.2021 00:00:00.000 GMT-0000,16.327,16.758,16.137,16.667,2292.094
15.01.2021 00:00:00.000 GMT-0000,16.928,17.488,16.677,17.087,6797.209
16.01.2021 00:00:00.000 GMT-0000,17.087,17.087,17.087,17.087,0
17.01.2021 00:00:00.000 GMT-0000,17.087,17.087,17.087,17.087,0
18.01.2021 00:00:00.000 GMT-0000,17.087,17.087,17.087,17.087,0
19.01.2021 00:00:00.000 GMT-0000,16.668,16.918,16.527,16.627,2689.1494
20.01.2021 00:00:00.000 GMT-0000,16.398,16.637,16.217,16.307,1094.3241
21.01.2021 00:00:00.000 GMT-0000,16.297,16.568,16.147,16.168,1783.0933
22.01.2021 00:00:00.000 GMT-0000,16.567,16.668,16.197,16.387,2134.1294
23.01.2021 00:00:00.000 GMT-0000,16.387,16.387,16.387,16.387,0
24.01.2021 00:00:00.000 GMT-0000,16.387,16.387,16.387,16.387,0
25.01.2021 00:00:00.000 GMT-0000,16.547,17.768,16.427,17.068,10023.4355
26.01.2021 00:00:00.000 GMT-0000,16.757,16.908,16.457,16.778,3613.1855
27.01.2021 00:00:00.000 GMT-0000,17.658,20.558,17.638,20.228,23960.4336
28.01.2021 00:00:00.000 GMT-0000,19.378,20.268,18.817,19.767,23757.959
29.01.2021 00:00:00.000 GMT-0000,20.288,21.747,19.178,20.858,37350.918
30.01.2021 00:00:00.000 GMT-0000,20.858,20.858,20.858,20.858,0
31.01.2021 00:00:00.000 GMT-0000,20.858,20.858,20.858,20.858,0
01.02.2021 00:00:00.000 GMT-0000,20.067,21.278,19.597,19.857,18469.6621
02.02.2021 00:00:00.000 GMT-0000,18.907,18.948,17.997,18.207,5453.1689
03.02.2021 00:00:00.000 GMT-0000,17.788,18.058,17.217,17.257,4101.1846
04.02.2021 00:00:00.000 GMT-0000,16.858,16.907,16.497,16.507,1803.3649
05.02.2021 00:00:00.000 GMT-0000,16.408,16.798,16.398,16.448,1422.0519
06.02.2021 00:00:00.000 GMT-0000,16.448,16.448,16.448,16.448,0
07.02.2021 00:00:00.000 GMT-0000,16.448,16.448,16.448,16.448,0
08.02.2021 00:00:00.000 GMT-0000,16.357,16.618,16.327,16.338,692.2802
09.02.2021 00:00:00.000 GMT-0000,16.537,16.658,16.2,16.388,665.7895
10.02.2021 00:00:00.000 GMT-0000,16.268,17.138,16.257,16.658,6328.9614
11.02.2021 00:00:00.000 GMT-0000,16.447,17.028,16.257,16.268,3302.3962
12.02.2021 00:00:00.000 GMT-0000,16.408,16.418,15.708,15.728,1574.0636
13.02.2021 00:00:00.000 GMT-0000,15.728,15.728,15.728,15.728,0
14.02.2021 00:00:00.000 GMT-0000,15.728,15.728,15.728,15.728,0
15.02.2021 00:00:00.000 GMT-0000,15.728,15.728,15.728,15.728,0
16.02.2021 00:00:00.000 GMT-0000,15.808,16.078,15.587,15.897,3544.9006
17.02.2021 00:00:00.000 GMT-0000,16.148,16.417,15.527,15.567,6259.7129
18.02.2021 00:00:00.000 GMT-0000,16.018,16.208,15.497,15.658,5665.1729
